year,district,crop,yield_kg_per_ha,area_ha,production_tonnes,rainfall_mm,temp_avg_c,temp_min_c,temp_max_c,humidity_pct,soil_pH,soil_organic_C_pct,soil_N_kg,soil_P_kg,soil_K_kg,soil_sand_pct,soil_silt_pct,soil_clay_pct
2010,Angul,rice,2624,1930,5064,1329.5,30.0,25.2,34.8,85.8,6.9,0.66,227.1,15.4,126.7,47.4,20.0,32.6
2010,Angul,maize,1568,1718,2693,997.4,27.6,23.5,31.2,84.7,6.4,0.82,128.8,14.6,155.5,33.5,38.8,27.7
2010,Angul,pulses,1049,1854,1944,1079.7,30.7,25.7,34.6,78.2,5.9,0.86,102.0,6.7,159.8,52.4,36.7,10.9
2010,Angul,groundnut,1771,1849,3274,904.3,25.6,21.1,31.7,73.4,5.6,0.9,180.7,13.2,180.6,55.3,44.3,0.4
2010,Angul,sesame,690,1845,1273,1266.3,29.0,24.5,33.8,58.9,5.9,1.04,267.8,19.3,200.2,48.6,28.5,22.9
2010,Balangir,rice,2590,2769,7171,1192.8,30.1,27.7,35.9,70.9,6.4,0.83,100.6,17.8,167.9,59.8,29.8,10.4
2010,Balangir,maize,1797,1749,3142,1383.1,27.7,23.2,33.2,71.0,7.0,0.59,183.6,16.1,76.8,48.0,37.6,14.4
2010,Balangir,pulses,1201,1882,2260,916.9,26.2,21.5,30.4,68.4,6.7,1.37,208.7,22.6,146.3,25.8,34.7,39.5
2010,Balangir,groundnut,1815,3231,5864,1161.5,27.6,22.6,31.4,81.4,6.9,1.04,154.5,34.0,79.9,50.9,56.9,0.0
2010,Balangir,sesame,652,1716,1118,1219.9,26.0,22.6,31.1,59.4,6.7,0.52,277.5,12.2,133.9,53.1,22.7,24.2
2010,Bargarh,rice,2556,2653,6781,878.5,27.4,22.1,33.2,57.6,5.8,0.96,214.8,22.5,167.3,38.2,37.3,24.5
2010,Bargarh,maize,2073,1642,3403,1573.2,27.9,24.1,33.6,60.3,6.9,1.15,159.0,29.6,170.6,53.2,54.0,0.0
2010,Bargarh,pulses,1138,1623,1846,1022.1,25.4,20.5,30.7,72.8,6.9,0.8,272.7,17.4,286.0,51.3,26.4,22.3
2010,Bargarh,groundnut,1532,2241,3433,1155.3,28.4,22.9,33.3,61.5,5.7,0.67,242.8,22.1,87.7,46.7,38.9,14.4
2010,Bargarh,sesame,679,2076,1409,1211.6,24.7,19.3,30.3,80.8,7.0,0.39,153.1,25.2,175.7,50.2,60.0,0.0
2010,Bhadrak,rice,2642,2567,6782,1390.8,28.3,23.6,34.1,62.3,6.4,0.65,204.1,43.1,56.6,51.9,20.0,28.1
2010,Bhadrak,maize,1882,2544,4787,1212.9,24.8,20.5,30.5,62.7,6.6,0.81,167.4,41.4,181.7,24.7,36.9,38.4
2010,Bhadrak,pulses,1034,2426,2508,1041.5,26.8,21.3,32.7,58.0,6.3,0.66,167.3,37.7,170.2,32.4,44.2,23.4
2010,Bhadrak,groundnut,2330,2516,5862,896.1,26.0,19.7,30.3,74.4,6.9,0.52,197.0,5.0,98.8,42.5,22.5,35.0
2010,Bhadrak,sesame,1308,1284,1679,1112.0,27.3,20.9,30.9,81.6,6.5,0.51,223.1,22.0,120.0,45.7,31.1,23.2
2010,Boudh,rice,2528,2331,5892,1517.2,24.5,17.4,27.5,68.5,6.8,0.88,168.9,17.9,125.3,39.1,43.5,17.4
2010,Boudh,maize,2089,1653,3453,1379.9,27.6,21.8,33.2,61.7,6.2,1.02,230.5,19.8,155.9,57.8,29.1,13.1
2010,Boudh,pulses,1336,1898,2535,1156.5,29.2,23.4,35.0,83.1,6.5,1.0,184.5,23.2,143.5,46.0,41.0,13.0
2010,Boudh,groundnut,1595,3046,4858,998.8,24.6,18.4,30.4,76.2,6.8,0.8,155.1,20.8,116.1,54.8,33.5,11.7
2010,Boudh,sesame,693,1839,1274,1282.6,25.9,21.7,31.1,72.4,6.2,0.66,211.6,5.5,79.6,37.8,32.9,29.3
2010,Cuttack,rice,2577,2737,7053,1371.5,26.7,21.7,30.7,69.8,6.4,0.9,158.6,25.2,226.6,43.9,39.0,17.1
2010,Cuttack,maize,2172,1799,3907,1244.8,27.0,21.9,31.2,70.2,6.7,1.24,248.0,41.5,111.6,53.7,36.8,9.5
2010,Cuttack,pulses,1747,1595,2786,1032.1,25.8,22.9,30.3,62.4,6.6,0.9,293.8,29.5,121.2,36.0,39.9,24.1
2010,Cuttack,groundnut,1469,2915,4282,1435.9,26.1,22.8,32.5,68.9,7.1,0.32,170.0,20.1,152.3,40.5,41.2,18.3
2010,Cuttack,sesame,633,1928,1220,1224.1,28.0,22.3,31.9,54.7,7.1,0.9,162.6,35.5,155.8,56.8,35.7,7.5
2010,Deogarh,rice,3015,2877,8674,1150.2,28.9,23.3,35.3,60.4,6.8,1.12,112.1,8.2,50.0,42.3,42.2,15.5
2010,Deogarh,maize,2375,2037,4837,1525.7,24.2,20.9,29.1,73.8,6.5,0.2,195.5,7.0,183.5,48.7,25.6,25.7
2010,Deogarh,pulses,1071,1470,1574,1187.5,28.9,24.9,34.4,64.7,6.1,0.77,148.2,14.5,90.1,64.6,35.4,0.0
2010,Deogarh,groundnut,1625,2106,3422,1177.5,26.6,21.0,32.4,64.7,6.2,0.72,84.9,5.0,218.3,61.4,32.5,6.1
2010,Deogarh,sesame,1044,2155,2249,1815.8,29.2,24.3,33.2,53.9,6.6,0.57,128.9,13.5,95.9,61.9,43.8,0.0
2010,Dhenkanal,rice,2498,2739,6842,1215.5,25.3,18.8,30.8,59.6,6.4,0.54,130.9,29.3,245.5,31.0,40.6,28.4
2010,Dhenkanal,maize,1837,1756,3225,1081.5,25.3,20.3,29.5,72.7,6.5,0.73,154.6,14.2,187.8,50.0,25.2,24.8
2010,Dhenkanal,pulses,1224,2375,2907,866.1,28.1,23.8,33.7,62.4,5.6,0.31,202.4,22.6,104.8,51.4,20.0,28.6
2010,Dhenkanal,groundnut,1783,1394,2485,1069.6,27.1,23.0,31.7,80.1,6.2,1.05,143.5,25.3,222.1,20.3,27.0,52.7
2010,Dhenkanal,sesame,1044,1898,1981,1274.2,25.8,20.7,30.6,81.7,6.6,0.9,179.4,15.1,128.4,48.9,30.8,20.3
2010,Gajapati,rice,2572,3037,7811,1374.2,26.3,20.1,30.9,50.0,6.0,0.24,182.4,20.2,233.8,48.3,32.8,18.9
2010,Gajapati,maize,2207,894,1973,1247.1,28.5,25.0,34.6,73.4,6.3,0.99,313.5,21.8,162.4,40.4,26.5,33.1
2010,Gajapati,pulses,1407,1571,2210,1214.3,26.0,20.5,31.3,80.4,6.2,0.72,151.1,15.6,168.9,52.6,25.8,21.6
2010,Gajapati,groundnut,2017,2677,5399,1282.7,30.8,26.6,34.6,52.2,7.2,1.0,197.2,22.8,93.7,69.5,36.3,0.0
2010,Gajapati,sesame,927,2362,2189,1296.2,27.4,23.2,32.9,88.8,7.2,1.28,174.4,10.1,143.7,45.6,45.9,8.5
2010,Ganjam,rice,2076,2764,5738,1168.4,26.1,22.1,29.4,78.2,6.5,0.41,135.2,16.6,233.5,42.4,20.0,37.6
2010,Ganjam,maize,1938,1863,3610,660.6,26.9,22.1,32.6,88.5,7.1,0.72,144.7,45.7,153.0,45.1,34.8,20.1
2010,Ganjam,pulses,1249,1927,2406,1085.3,25.9,20.9,30.4,62.9,6.6,0.72,275.2,5.0,204.6,57.5,20.0,22.5
2010,Ganjam,groundnut,1714,1814,3109,918.5,25.4,21.5,32.2,79.4,7.1,1.02,143.5,14.8,174.5,32.8,42.1,25.1
2010,Ganjam,sesame,839,1812,1520,1342.2,27.9,23.3,34.1,59.2,6.8,0.98,184.5,23.3,87.4,54.2,33.2,12.6
2010,Jagatsinghpur,rice,2369,2524,5979,1059.1,24.2,20.8,29.8,57.2,7.4,0.2,284.8,22.1,145.2,39.6,39.0,21.4
2010,Jagatsinghpur,maize,1990,2551,5076,1222.8,27.3,22.7,32.2,73.1,5.6,0.4,237.2,21.7,140.8,45.2,38.5,16.3
2010,Jagatsinghpur,pulses,1065,1610,1714,1239.2,25.0,19.6,28.3,80.3,6.7,0.88,249.1,36.7,200.7,26.6,22.2,51.2
2010,Jagatsinghpur,groundnut,1643,2013,3307,1303.5,25.5,20.3,29.7,63.9,5.8,0.52,132.4,10.2,202.7,35.5,60.0,4.5
2010,Jagatsinghpur,sesame,1023,2092,2140,1028.3,28.4,24.0,33.5,90.0,6.5,1.14,164.8,19.7,238.5,38.7,53.1,8.2
2010,Jajpur,rice,2676,1718,4597,1326.5,28.9,23.3,32.3,62.7,6.4,0.78,231.0,21.8,83.2,48.8,41.1,10.1
2010,Jajpur,maize,2139,2540,5433,1366.8,27.9,23.0,31.2,74.3,6.6,0.88,136.2,9.2,202.7,44.6,41.8,13.6
2010,Jajpur,pulses,1207,2014,2430,1387.7,26.0,20.9,30.5,65.7,6.3,0.87,176.1,32.6,105.3,43.1,30.6,26.3
2010,Jajpur,groundnut,2161,2098,4533,1406.4,24.0,18.7,29.9,70.8,7.0,0.64,270.5,43.0,131.9,40.5,49.5,10.0
2010,Jajpur,sesame,1294,1738,2248,1116.0,26.4,22.7,30.5,60.0,6.1,0.79,211.7,35.5,100.1,54.8,32.9,12.3
2010,Jharsuguda,rice,2487,2337,5812,975.5,27.8,22.6,33.3,72.9,7.7,0.61,173.5,13.8,122.2,38.6,46.9,14.5
2010,Jharsuguda,maize,2355,1714,4036,1033.5,27.9,23.5,33.5,72.0,5.7,1.26,289.8,13.9,130.6,47.9,38.3,13.8
2010,Jharsuguda,pulses,1364,3005,4098,1164.6,25.4,21.8,29.7,69.7,7.4,0.64,211.2,19.8,209.4,70.0,29.7,0.3
2010,Jharsuguda,groundnut,1677,2522,4229,1336.4,30.7,25.1,35.3,75.9,7.1,1.05,225.4,30.7,208.5,58.8,41.5,0.0
2010,Jharsuguda,sesame,858,2073,1778,1441.3,25.4,20.0,30.0,70.3,7.1,0.86,202.3,6.4,187.3,51.5,56.6,0.0
2010,Kalahandi,rice,2423,2109,5110,1249.9,30.2,25.3,35.5,76.1,6.6,0.67,209.7,30.7,98.7,46.3,28.0,25.7
2010,Kalahandi,maize,2298,1238,2844,1088.2,27.8,21.2,32.7,64.4,7.4,0.37,90.1,24.4,124.9,34.8,42.1,23.1
2010,Kalahandi,pulses,1260,1717,2163,943.9,28.7,23.0,33.6,88.5,6.0,0.34,165.4,19.5,162.2,42.6,38.5,18.9
2010,Kalahandi,groundnut,1487,2721,4046,1183.6,29.2,23.9,34.7,75.7,6.7,0.99,266.5,22.0,185.5,44.1,49.4,6.5
2010,Kalahandi,sesame,730,2900,2117,1192.0,24.1,19.0,28.4,78.4,6.2,0.67,105.5,15.5,50.0,29.2,42.6,28.2
2010,Kandhamal,rice,2696,2212,5963,1006.6,26.9,21.9,30.7,85.0,6.9,0.73,201.3,22.1,50.0,42.5,28.2,29.3
2010,Kandhamal,maize,1749,1859,3251,1559.5,28.3,23.9,33.9,84.0,7.0,0.82,167.7,27.0,169.7,54.0,41.4,4.6
2010,Kandhamal,pulses,1462,1732,2532,1463.5,27.4,20.3,31.7,87.4,6.6,0.6,175.8,16.8,171.2,50.2,29.3,20.5
2010,Kandhamal,groundnut,1793,3071,5506,1545.5,27.9,22.9,33.0,76.1,6.0,0.72,116.6,24.0,182.4,40.2,50.7,9.1
2010,Kandhamal,sesame,593,1267,751,1244.9,29.1,22.4,33.6,80.8,6.5,0.75,244.2,26.5,71.2,59.8,48.8,0.0
2010,Kendrapara,rice,2343,2197,5147,1298.8,27.5,23.1,31.8,69.7,7.1,0.96,181.5,27.7,50.0,56.5,20.0,23.5
2010,Kendrapara,maize,1909,1440,2748,941.1,29.3,24.8,34.6,69.5,6.7,0.82,135.9,30.0,125.3,29.4,30.7,39.9
2010,Kendrapara,pulses,1575,2425,3819,1130.3,26.3,21.6,33.4,73.8,6.7,1.11,211.9,17.4,140.2,44.3,34.6,21.1
2010,Kendrapara,groundnut,1981,2025,4011,1346.5,26.8,21.7,29.8,79.2,6.7,1.1,55.2,40.9,143.0,56.1,24.6,19.3
2010,Kendrapara,sesame,1053,1473,1551,1075.2,30.8,26.0,36.0,78.7,6.7,0.85,218.2,44.0,147.1,47.0,45.5,7.5
2010,Kendujhar,rice,2776,2593,7198,1327.7,24.7,18.1,28.6,73.0,6.1,0.78,216.4,23.2,171.1,61.1,39.5,0.0
2010,Kendujhar,maize,1938,2482,4810,1437.9,24.5,18.9,30.2,67.0,7.2,0.75,206.3,18.3,150.8,34.0,20.6,45.4
2010,Kendujhar,pulses,1598,1576,2518,1001.7,22.7,18.3,26.4,86.4,7.0,0.59,312.6,29.8,133.8,20.0,57.9,22.1
2010,Kendujhar,groundnut,1452,1177,1709,1404.5,31.9,25.5,37.5,75.9,6.9,1.03,214.1,21.0,146.9,37.5,32.2,30.3
2010,Kendujhar,sesame,476,1950,928,1002.3,24.8,19.6,31.2,79.2,5.7,0.5,247.0,10.2,138.8,50.5,25.3,24.2
2010,Khordha,rice,2526,1332,3364,1079.7,27.6,24.2,33.0,69.8,6.8,0.87,268.2,21.3,128.5,46.2,40.4,13.4
2010,Khordha,maize,2012,2020,4064,1059.6,25.7,22.1,32.4,57.6,6.2,0.58,244.7,17.1,212.4,38.3,37.8,23.9
2010,Khordha,pulses,991,3072,3044,962.5,27.6,22.0,33.0,68.1,6.4,0.81,192.6,29.6,260.5,39.4,21.3,39.3
2010,Khordha,groundnut,1777,3289,5844,1039.3,30.3,23.6,34.7,75.7,7.3,0.69,189.8,14.2,99.3,38.5,22.8,38.7
2010,Khordha,sesame,908,1615,1466,1246.8,23.9,18.6,29.7,50.1,6.7,1.17,139.5,36.7,171.0,37.9,34.4,27.7
2010,Koraput,rice,2639,2038,5378,1307.8,25.2,20.0,28.8,68.9,6.0,0.58,261.8,30.9,180.5,34.1,31.8,34.1
2010,Koraput,maize,2303,2070,4767,1663.9,27.8,22.6,32.5,71.3,6.4,1.01,247.8,12.1,83.4,26.6,40.1,33.3
2010,Koraput,pulses,924,923,852,1277.7,32.0,27.0,37.8,70.8,6.5,1.08,185.5,22.7,166.1,38.3,44.9,16.8
2010,Koraput,groundnut,1756,1622,2848,1307.3,25.2,20.2,30.2,80.9,6.7,0.79,240.9,33.9,177.9,45.1,21.9,33.0
2010,Koraput,sesame,633,1847,1169,1078.1,26.6,21.5,32.1,69.3,6.7,0.82,101.2,10.6,142.8,32.9,41.0,26.1
2010,Malkangiri,rice,2882,2609,7519,1157.3,30.0,24.9,34.7,63.9,6.3,0.68,208.5,21.6,150.2,49.4,46.9,3.7
2010,Malkangiri,maize,2237,1257,2811,689.2,28.9,25.3,33.7,58.3,5.6,0.96,238.0,14.2,50.0,39.5,38.9,21.6
2010,Malkangiri,pulses,830,2091,1735,1196.9,28.2,23.1,32.2,82.0,6.4,0.79,153.3,15.6,105.8,43.3,52.1,4.6
2010,Malkangiri,groundnut,1457,1193,1738,1494.2,26.6,22.3,32.6,63.9,7.4,1.0,175.6,41.6,119.7,52.4,38.0,9.6
2010,Malkangiri,sesame,1225,2780,3405,1206.4,25.5,20.0,29.8,90.0,6.6,0.69,209.2,6.5,101.4,57.0,28.4,14.6
2010,Mayurbhanj,rice,2238,2268,5075,1437.1,28.4,22.4,32.6,55.8,7.3,0.7,187.5,33.3,177.8,49.6,56.7,0.0
2010,Mayurbhanj,maize,1839,2463,4529,1211.4,27.5,21.0,33.0,75.4,7.0,0.69,158.0,9.6,51.7,65.6,24.0,10.4
2010,Mayurbhanj,pulses,1144,1861,2128,1261.5,28.6,22.7,33.0,68.3,6.6,0.73,280.4,24.9,186.7,51.6,46.7,1.7
2010,Mayurbhanj,groundnut,1845,1351,2492,1279.9,25.7,21.2,31.3,82.4,6.5,0.89,285.1,22.4,280.1,50.7,20.0,29.3
2010,Mayurbhanj,sesame,1088,2190,2382,1458.0,28.3,23.4,32.1,67.9,6.1,0.63,229.4,36.7,169.7,33.0,39.4,27.6
2010,Nabarangpur,rice,2799,1695,4744,1173.2,27.0,22.8,32.6,68.8,6.7,0.53,178.1,27.2,131.4,62.3,31.0,6.7
2010,Nabarangpur,maize,2056,2466,5070,916.3,23.5,20.0,29.8,64.5,7.8,0.63,209.2,35.4,250.3,65.6,47.1,0.0
2010,Nabarangpur,pulses,1456,2296,3342,1355.7,25.9,21.7,30.9,68.3,6.3,1.01,247.8,20.9,223.9,33.6,33.1,33.3
